 HEAD
﻿Notes,Occurrence County,Occurrence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Fairfield County, CT",9001,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,146,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,154,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,157,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,141,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,141,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,128,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,135,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,135,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,114,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,119,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,113,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,122,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,124,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,136,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,140,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,126,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,127,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,113,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,111,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 23 ending June 12, 2021 (provisional)",2021/23,105,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 24 ending June 19, 2021 (provisional)",2021/24,118,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 25 ending June 26, 2021 (provisional)",2021/25,117,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 26 ending July 03, 2021 (provisional)",2021/26,121,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 27 ending July 10, 2021 (provisional)",2021/27,104,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 28 ending July 17, 2021 (provisional)",2021/28,108,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 29 ending July 24, 2021 (provisional)",2021/29,128,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 30 ending July 31, 2021 (provisional)",2021/30,96,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 31 ending August 07, 2021 (provisional)",2021/31,120,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 32 ending August 14, 2021 (provisional)",2021/32,145,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 33 ending August 21, 2021 (provisional)",2021/33,130,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 34 ending August 28, 2021 (provisional)",2021/34,129,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 35 ending September 04, 2021 (provisional)",2021/35,137,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 36 ending September 11, 2021 (provisional)",2021/36,141,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 37 ending September 18, 2021 (provisional)",2021/37,142,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 38 ending September 25, 2021 (provisional)",2021/38,134,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 39 ending October 02, 2021 (provisional)",2021/39,123,Not Applicable,Not Applicable
,"Fairfield County, CT",9001,"2021 Week 40 ending October 09, 2021 (provisional)",2021/40,125,Not Applicable,Not Applicable
