Notes,Residence County,Residence County Code,MMWR Week,MMWR Week Code,Deaths,Population,Crude Rate
,"Grays Harbor County, WA",53027,"2020 Week 37 ending September 12, 2020",2020/37,26,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 38 ending September 19, 2020",2020/38,17,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 39 ending September 26, 2020",2020/39,21,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 40 ending October 03, 2020",2020/40,17,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 41 ending October 10, 2020",2020/41,29,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 42 ending October 17, 2020",2020/42,15,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 43 ending October 24, 2020",2020/43,14,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 44 ending October 31, 2020",2020/44,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 45 ending November 07, 2020",2020/45,16,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 46 ending November 14, 2020",2020/46,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 47 ending November 21, 2020",2020/47,24,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 48 ending November 28, 2020",2020/48,16,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 50 ending December 12, 2020",2020/50,19,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 51 ending December 19, 2020",2020/51,14,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 52 ending December 26, 2020",2020/52,21,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2020 Week 53 ending January 02, 2021",2020/53,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 01 ending January 09, 2021 (provisional)",2021/01,17,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 02 ending January 16, 2021 (provisional)",2021/02,23,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 03 ending January 23, 2021 (provisional)",2021/03,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 04 ending January 30, 2021 (provisional)",2021/04,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 05 ending February 06, 2021 (provisional)",2021/05,13,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 06 ending February 13, 2021 (provisional)",2021/06,25,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 07 ending February 20, 2021 (provisional)",2021/07,15,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 08 ending February 27, 2021 (provisional)",2021/08,22,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 09 ending March 06, 2021 (provisional)",2021/09,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 10 ending March 13, 2021 (provisional)",2021/10,27,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 11 ending March 20, 2021 (provisional)",2021/11,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 12 ending March 27, 2021 (provisional)",2021/12,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 13 ending April 03, 2021 (provisional)",2021/13,14,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 14 ending April 10, 2021 (provisional)",2021/14,29,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 15 ending April 17, 2021 (provisional)",2021/15,19,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 16 ending April 24, 2021 (provisional)",2021/16,15,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 17 ending May 01, 2021 (provisional)",2021/17,19,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 18 ending May 08, 2021 (provisional)",2021/18,14,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 19 ending May 15, 2021 (provisional)",2021/19,26,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 20 ending May 22, 2021 (provisional)",2021/20,20,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 21 ending May 29, 2021 (provisional)",2021/21,18,Not Applicable,Not Applicable
,"Grays Harbor County, WA",53027,"2021 Week 22 ending June 05, 2021 (provisional)",2021/22,24,Not Applicable,Not Applicable
